time_s,mean_C,loss_per_initial_dry_mass,steps,iterations,rejections,min_dt,max_dt,max_scaled_residual,damped_iterations,water_balance_residual
5.604000000000000000e+03,1.847641281642939948e+00,1.029312502262725443e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.638094369022940705e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.605000000000000000e+03,1.847538356051890762e+00,1.029255910495076575e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.635578232748594377e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.606000000000000000e+03,1.847435436119809760e+00,1.029199320811309277e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.671761013898099456e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.607000000000000000e+03,1.847332521846498210e+00,1.029142733098784972e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.618471154660791256e-05,0.000000000000000000e+00,-8.180123245438153390e-13
5.608000000000000000e+03,1.847229613231773371e+00,1.029086147252215297e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.677926970301079577e-05,0.000000000000000000e+00,-8.180123245438153390e-13
5.609000000000000000e+03,1.847126710275457162e+00,1.029029563172969701e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.690477634012965328e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.610000000000000000e+03,1.847023812977378610e+00,1.028972980768465452e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.693217690082250194e-05,0.000000000000000000e+00,-8.184564137536654016e-13
5.611000000000000000e+03,1.846920921337385613e+00,1.028916399951629459e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.566444975711405666e-05,0.000000000000000000e+00,-8.162359677044150885e-13
5.612000000000000000e+03,1.846818035355318299e+00,1.028859820640429360e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.651794415967301898e-05,0.000000000000000000e+00,-8.193445921733655268e-13
5.613000000000000000e+03,1.846715155031046329e+00,1.028803242757452577e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.667234606385673861e-05,0.000000000000000000e+00,-8.157918784945650259e-13
5.614000000000000000e+03,1.846612280364422487e+00,1.028746666229536606e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.662949845658063356e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.615000000000000000e+03,1.846509411355321761e+00,1.028690090987429659e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.649457875300636367e-05,0.000000000000000000e+00,-8.184564137536654016e-13
5.616000000000000000e+03,1.846406548003625359e+00,1.028633516965501862e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.646781341377362353e-05,0.000000000000000000e+00,-8.184564137536654016e-13
5.617000000000000000e+03,1.846303690309214485e+00,1.028576944101466072e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.677120639242655217e-05,0.000000000000000000e+00,-8.193445921733655268e-13
5.618000000000000000e+03,1.846200838271982780e+00,1.028520372336143551e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.676689918016856752e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.619000000000000000e+03,1.846097991891819445e+00,1.028463801613242523e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.719467328511308510e-05,0.000000000000000000e+00,-8.193445921733655268e-13
5.620000000000000000e+03,1.845995151168632553e+00,1.028407231879158949e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.636997901679432217e-05,0.000000000000000000e+00,-8.184564137536654016e-13
5.621000000000000000e+03,1.845892316102323516e+00,1.028350663082796277e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.661294326360948312e-05,0.000000000000000000e+00,-8.189005029635154642e-13
5.622000000000000000e+03,1.845789486692807513e+00,1.028294095175400104e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.678147372273982858e-05,0.000000000000000000e+00,-8.175682353339652764e-13
5.623000000000000000e+03,1.845686662939991951e+00,1.028237528110411808e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.681191378268055047e-05,0.000000000000000000e+00,-8.220091274324659025e-13
5.624000000000000000e+03,1.845583844843815102e+00,1.028180961843327192e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.691314643225243084e-05,0.000000000000000000e+00,-8.144596108650148381e-13
5.625000000000000000e+03,1.845481032404180821e+00,1.028124396331570181e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.646459927925831150e-05,0.000000000000000000e+00,-8.157918784945650259e-13
5.626000000000000000e+03,1.845378225621025159e+00,1.028067831534379650e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.648358512129024066e-05,0.000000000000000000e+00,-8.180123245438153390e-13
5.627000000000000000e+03,1.845275424494285277e+00,1.028011267412698844e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.660801745208157970e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.628000000000000000e+03,1.845172629023892341e+00,1.027954703929079690e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.656509256224611806e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.629000000000000000e+03,1.845069839209786622e+00,1.027898141047593083e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.637691834481020428e-05,0.000000000000000000e+00,-8.175682353339652764e-13
5.630000000000000000e+03,1.844967055051914828e+00,1.027841578733739304e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.632316786222411681e-05,0.000000000000000000e+00,-8.162359677044150885e-13
5.631000000000000000e+03,1.844864276550218340e+00,1.027785016954376054e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.641818143447073685e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.632000000000000000e+03,1.844761503704650529e+00,1.027728455677641070e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.645400367166373058e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.633000000000000000e+03,1.844658736515162545e+00,1.027671894872888837e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.682926720778287201e-05,0.000000000000000000e+00,-8.175682353339652764e-13
5.634000000000000000e+03,1.844555974981711755e+00,1.027615334510623092e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.617814024582438364e-05,0.000000000000000000e+00,-8.175682353339652764e-13
5.635000000000000000e+03,1.844453219104254638e+00,1.027558774562442210e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.640891529993081154e-05,0.000000000000000000e+00,-8.184564137536654016e-13
5.636000000000000000e+03,1.844350468882755889e+00,1.027502215000985808e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.628045296290248360e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.637000000000000000e+03,1.844247724317174209e+00,1.027445655799876059e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.634934108102583170e-05,0.000000000000000000e+00,-8.189005029635154642e-13
